provincia_id,provincia,municipio_id,municipio
48,Bizkaia,1,Abadiño
20,Gipuzkoa,1,Abaltzisketa
48,Bizkaia,2,Abanto y Ciérvana-Abanto Zierbena
20,Gipuzkoa,2,Aduna
1,Araba/Álava,51,Agurain/Salvatierra
20,Gipuzkoa,16,Aia
20,Gipuzkoa,3,Aizarnazabal
48,Bizkaia,911,Ajangiz
20,Gipuzkoa,4,Albiztur
20,Gipuzkoa,5,Alegia
1,Araba/Álava,1,Alegría-Dulantzi
20,Gipuzkoa,6,Alkiza
48,Bizkaia,912,Alonsotegi
20,Gipuzkoa,906,Altzaga
20,Gipuzkoa,7,Altzo
20,Gipuzkoa,8,Amezketa
48,Bizkaia,3,Amorebieta-Etxano
48,Bizkaia,4,Amoroto
1,Araba/Álava,2,Amurrio
20,Gipuzkoa,9,Andoain
20,Gipuzkoa,10,Anoeta
20,Gipuzkoa,11,Antzuola
1,Araba/Álava,49,Añana
48,Bizkaia,5,Arakaldo
20,Gipuzkoa,12,Arama
1,Araba/Álava,3,Aramaio
48,Bizkaia,6,Arantzazu
48,Bizkaia,93,Areatza
20,Gipuzkoa,13,Aretxabaleta
1,Araba/Álava,6,Armiñón
1,Araba/Álava,37,Arraia-Maeztu
48,Bizkaia,9,Arrankudiaga-Zollo
20,Gipuzkoa,55,Arrasate/Mondragón
48,Bizkaia,914,Arratzu
1,Araba/Álava,8,Arratzua-Ubarrundia
48,Bizkaia,10,Arrieta
48,Bizkaia,11,Arrigorriaga
48,Bizkaia,23,Artea
48,Bizkaia,8,Artzentales
1,Araba/Álava,4,Artziniega
1,Araba/Álava,9,Asparrena
20,Gipuzkoa,14,Asteasu
20,Gipuzkoa,903,Astigarraga
20,Gipuzkoa,15,Ataun
48,Bizkaia,91,Atxondo
48,Bizkaia,70,Aulesti
1,Araba/Álava,10,Ayala/Aiara
20,Gipuzkoa,17,Azkoitia
20,Gipuzkoa,18,Azpeitia
48,Bizkaia,12,Bakio
20,Gipuzkoa,904,Baliarrain
48,Bizkaia,90,Balmaseda
1,Araba/Álava,11,Baños de Ebro/Mañueta
48,Bizkaia,13,Barakaldo
48,Bizkaia,14,Barrika
1,Araba/Álava,13,Barrundia
48,Bizkaia,15,Basauri
20,Gipuzkoa,19,Beasain
48,Bizkaia,92,Bedia
20,Gipuzkoa,20,Beizama
20,Gipuzkoa,21,Belauntza
